2014-based projected population by sex and single year of age, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													
38	63747	60118	61309	65723	68246	69674	70229	69393	68478	70810	71269	71960	74150	73530	74672	78408	78683	74278	74370	73451	71982	71250	69182	68059	65923	64610
39	64388	63770	60105	61294	65709	68237	69664	70226	69390	68476	70806	71266	71959	74148	73528	74671	78405	78683	74284	74373	73454	71988	71258	69191	68070	65936
40	65328	64401	63741	60083	61274	65688	68219	69649	70212	69377	68464	70792	71254	71948	74135	73517	74660	78391	78675	74279	74369	73451	71986	71258	69192	68072
41	69348	65351	64389	63731	60080	61269	65682	68217	69649	70213	69381	68468	70796	71259	71952	74140	73525	74665	78397	78686	74296	74382	73466	72004	71275	69211
42	73800	69344	65323	64361	63706	60060	61248	65662	68198	69631	70197	69368	68458	70782	71248	71942	74129	73516	74658	78388	78681	74298	74378	73465	72005	71278
43	76644	73768	69293	65277	64317	63663	60026	61210	65623	68161	69594	70163	69337	68427	70752	71218	71915	74100	73492	74634	78361	78659	74281	74359	73449	71990
44	75798	76604	73714	69247	65235	64276	63627	59996	61176	65590	68128	69563	70133	69311	68402	70724	71193	71891	74077	73475	74616	78342	78643	74270	74347	73439
45	78704	75735	76523	73642	69184	65176	64221	63574	59948	61127	65539	68077	69514	70087	69267	68360	70681	71154	71853	74037	73440	74582	78308	78612	74243	74317
46	80275	78621	75644	76435	73562	69112	65110	64159	63513	59894	61070	65479	68020	69459	70033	69217	68312	70631	71107	71808	73992	73399	74540	78264	78573	74208
47	80894	80167	78511	75543	76333	73469	69028	65035	64087	63442	59828	61004	65409	67953	69392	69970	69155	68253	70572	71049	71752	73936	73348	74488	78210	78523
48	80402	80763	80035	78388	75426	76219	73365	68934	64948	64002	63361	59754	60927	65328	67874	69315	69895	69085	68184	70501	70980	71684	73868	73284	74424	78145
49	83320	80269	80626	79904	78266	75315	76112	73266	68843	64866	63923	63285	59682	60855	65252	67799	69243	69824	69018	68120	70436	70917	71623	73803	73224	74365
50	82301	83174	80135	80495	79780	78152	75211	76009	73173	68760	64790	63848	63213	59618	60789	65182	67731	69179	69762	68957	68063	70379	70863	71569	73749	73173
51	82094	82150	83028	80003	80367	79661	78042	75111	75909	73083	68681	64719	63775	63144	59558	60724	65114	67667	69117	69705	68904	68012	70326	70814	71521	73700
52	80198	81916	81983	82868	79860	80227	79530	77919	74999	75798	72983	68592	64637	63694	63066	59490	60653	65040	67596	69048	69638	68842	67952	70263	70754	71464
53	78284	79976	81702	81781	82671	79680	80050	79363	77761	74853	75653	72849	68470	64525	63584	62961	59395	60557	64935	67495	68949	69541	68751	67861	70169	70664
54	75709	78018	79724	81454	81542	82437	79465	79841	79161	77571	74675	75476	72684	68319	64385	63449	62830	59275	60434	64805	67367	68823	69417	68632	67745	70050
55	75231	75415	77734	79446	81181	81279	82178	79228	79607	78936	77357	74473	75276	72497	68149	64228	63296	62682	59140	60294	64659	67220	68676	69274	68492	67612
56	73040	74910	75118	77436	79153	80894	81001	81905	78975	79358	78696	77129	74258	75061	72298	67969	64060	63132	62521	58994	60146	64500	67062	68517	69118	68342
57	71239	72701	74588	74807	77125	78848	80593	80712	81619	78709	79096	78443	76889	74033	74836	72089	67777	63883	62959	62352	58841	59989	64333	66896	68350	68955
58	68986	70858	72344	74233	74460	76784	78508	80257	80385	81297	78407	78799	78158	76616	73775	74580	71849	67556	63678	62760	62158	58663	59809	64143	66701	68157
59	66112	68560	70457	71945	73837	74074	76398	78125	79877	80014	80930	78064	78459	77831	76299	73479	74284	71571	67299	63439	62526	61930	58453	59596	63919	66473
60	65213	65674	68140	70039	71532	73426	73675	75997	77726	79479	79628	80547	77705	78104	77487	75970	73171	73975	71282	67032	63191	62282	61693	58233	59372	63681
61	64041	64738	65239	67699	69599	71100	72997	73256	75575	77303	79061	79220	80141	77324	77727	77121	75620	72842	73646	70973	66745	62925	62021	61439	57997	59132
62	61738	63517	64251	64765	67218	69122	70626	72524	72793	75107	76836	78593	78765	79689	76899	77306	76713	75227	72469	73275	70623	66421	62623	61726	61149	57727
63	62323	61173	62982	63729	64254	66700	68605	70115	72011	72289	74599	76328	78084	78268	79196	76433	76844	76264	74795	72058	72866	70236	66064	62289	61399	60829
64	62486	61689	60601	62411	63167	63705	66142	68049	69560	71456	71742	74047	75773	77531	77725	78656	75923	76337	75771	74319	71606	72415	69810	65669	61919	61038
65	64029	61779	61050	59991	61798	62566	63115	65544	67449	68961	70854	71150	73447	75172	76929	77134	78068	75366	75784	75231	73798	71111	71922	69342	65234	61513
66	65871	63215	61053	60354	59325	61129	61906	62468	64887	66788	68300	70191	70495	72786	74506	76262	76479	77414	74746	75167	74628	73215	70555	71369	68815	64745
67	71190	64926	62381	60267	59598	58601	60402	61185	61758	64166	66062	67574	69458	69773	72053	73769	75521	75747	76684	74053	74479	73956	72564	69937	70749	68225
68	53809	70052	63977	61492	59430	58792	57826	59621	60413	60997	63390	65280	66787	68658	68983	71252	72963	74711	74947	75885	73295	73724	73218	71848	69256	70068
69	50624	52849	68911	62964	60541	58532	57925	56992	58780	59580	60175	62551	64427	65923	67786	68120	70375	72080	73823	74070	75007	72458	72894	72406	71060	68507
70	51457	49621	51888	67692	61878	59521	57568	56994	56097	57876	58682	59287	61639	63494	64986	66838	67182	69423	71119	72854	73112	74050	71547	71987	71519	70200
71	49324	50326	48620	50863	66392	60717	58429	56537	55999	55137	56905	57718	58326	60656	62496	63983	65823	66176	68400	70086	71812	72083	73019	70564	71009	70561
72	45065	48123	49194	47552	49770	65004	59475	57263	55431	54927	54102	55861	56678	57295	59602	61428	62909	64735	65096	67302	68976	70691	70973	71908	69503	69954
73	41614	43865	46943	48012	46436	48623	63545	58173	56037	54267	53797	53010	54756	55576	56204	58485	60294	61767	63579	63950	66134	67795	69497	69791	70722	68374
74	42171	40412	42697	45721	46785	45277	47433	62026	56814	54754	53050	52614	51867	53598	54421	55056	57311	59104	60566	62361	62741	64904	66547	68239	68545	69473
75	40960	40823	39225	41466	44429	45485	44047	46169	60413	55363	53383	51748	51348	50643	52356	53180	53823	56047	57821	59271	61049	61435	63573	65198	66876	67193
76	39528	39522	39505	37985	40180	43075	44125	42758	44842	58713	53838	51940	50374	50011	49346	51040	51864	52515	54705	56457	57894	59652	60045	62152	63757	65419
77	37184	38004	38124	38137	36696	38841	41667	42709	41415	43458	56936	52241	50426	48932	48607	47984	49655	50478	51135	53288	55016	56439	58174	58573	60647	62234
78	35471	35600	36514	36661	36705	35343	37435	40187	41214	39995	41995	55055	50548	48819	47400	47114	46533	48179	48999	49659	51772	53473	54877	56585	56991	59030
79	33262	33782	34046	34948	35122	35196	33917	35951	38620	39633	38492	40441	53059	48745	47108	45764	45519	44979	46597	47412	48075	50144	51814	53197	54874	55286
80	30577	31491	32134	32423	33313	33512	33616	32422	34391	36972	37968	36905	38800	50947	46836	45292	44029	43821	43326	44910	45721	46383	48403	50038	51396	53040
81	28216	28767	29782	30433	30745	31618	31840	31971	30863	32763	35253	36228	35244	37081	48730	44832	43384	42204	42034	41583	43129	43931	44593	46559	48155	49487
82	27169	26350	27022	28017	28670	29005	29859	30101	30257	29238	31064	33455	34407	33503	35277	46401	42724	41375	40277	40145	39740	41244	42036	42695	44602	46155
83	24595	25162	24563	25230	26200	26853	27206	28040	28299	28480	27548	29294	31580	32505	31684	33388	43960	40512	39264	38249	38154	37794	39252	40032	40685	42527
84	21898	22561	23253	22737	23396	24337	24986	25353	26161	26438	26640	25795	27460	29633	30530	29788	31419	41408	38195	37051	36121	36064	35749	37154	37919	38565
85	19411	19880	20647	21322	20887	21535	22444	23085	23463	24243	24532	24753	23997	25574	27628	28492	27831	29384	38762	35793	34752	33909	33886	33617	34965	35710
86	16640	17417	18001	18732	19387	19031	19663	20534	21164	21549	22297	22596	22833	22164	23647	25575	26405	25823	27292	36040	33317	32380	31624	31631	31407	32693
87	14852	14735	15577	16135	16827	17457	17174	17789	18617	19228	19616	20329	20635	20883	20300	21684	23483	24273	23770	25148	33248	30772	29937	29268	29303	29123
88	13103	12964	13005	13775	14303	14952	15553	15340	15930	16713	17301	17687	18362	18669	18925	18425	19708	21372	22117	21690	22973	30412	28180	27447	26863	26925
89	10827	11266	11280	11340	12038	12535	13139	13707	13558	14119	14851	15411	15791	16424	16730	16987	16565	17745	19270	19970	19612	20799	27572	25583	24949	24445
90+	39542	39917	41303	42488	43557	45094	46877	48982	51350	53325	55589	58265	61152	64067	67220	70285	73227	75441	78442	82444	86598	89928	93908	103481	110156	115420
																										
2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
MALES													MALES													
All ages	2596384	2606380	2615525	2624553	2633805	2643332	2653068	2662988	2672895	2682750	2692547	2702201	2711656	2720842	2729716	2738210	2746294	2753934	2761128	2767866	2774176	2780046	2785524	2790640	2795433	2799938
0	28913	28602	28474	28315	28496	28751	28972	29156	29297	29399	29463	29501	29488	29431	29347	29233	29103	28975	28862	28770	28684	28604	28552	28538	28554	28597
1	29337	29099	28754	28626	28469	28653	28910	29134	29318	29459	29562	29628	29665	29653	29596	29512	29397	29268	29140	29027	28935	28850	28769	28716	28702	28718
2	30424	29483	29208	28863	28737	28581	28766	29027	29253	29437	29578	29681	29747	29784	29772	29714	29630	29515	29387	29259	29146	29054	28969	28887	28834	28820
3	31184	30531	29556	29282	28938	28812	28659	28846	29107	29333	29518	29659	29762	29829	29866	29853	29795	29711	29596	29469	29341	29227	29134	29049	28967	28915
4	29656	31269	30586	29614	29340	28998	28871	28721	28909	29168	29395	29582	29722	29826	29893	29931	29917	29858	29775	29659	29532	29404	29290	29197	29113	29030
5	30352	29735	31321	30640	29670	29397	29056	28930	28780	28968	29227	29453	29641	29781	29885	29952	29990	29976	29917	29835	29718	29592	29464	29349	29256	29172
6	30378	30425	29784	31371	30692	29724	29450	29110	28984	28833	29021	29280	29506	29695	29835	29940	30007	30045	30031	29972	29890	29773	29647	29519	29403	29309
7	29262	30442	30471	29831	31417	30743	29773	29500	29159	29033	28882	29070	29330	29555	29745	29886	29991	30056	30095	30081	30023	29940	29824	29697	29569	29453
8	28610	29314	30478	30509	29868	31456	30782	29813	29540	29199	29072	28921	29109	29369	29594	29785	29926	30031	30096	30135	30121	30063	29980	29864	29737	29610
9	28635	28657	29345	30511	30543	29903	31491	30819	29848	29575	29234	29107	28957	29144	29405	29630	29821	29962	30068	30133	30172	30159	30101	30016	29901	29773
10	28184	28687	28694	29383	30551	30585	29945	31534	30862	29890	29617	29276	29149	28999	29185	29447	29673	29863	30004	30111	30176	30215	30202	30144	30059	29943
11	27029	28239	28726	28734	29425	30594	30630	29990	31580	30907	29935	29661	29320	29194	29043	29230	29492	29718	29907	30048	30156	30220	30260	30247	30190	30106
12	26889	27070	28264	28753	28762	29454	30624	30662	30021	31612	30940	29966	29691	29351	29225	29074	29261	29523	29749	29938	30079	30187	30252	30291	30278	30221
13	27929	26934	27099	28293	28783	28793	29485	30657	30694	30053	31646	30975	29999	29724	29385	29258	29107	29296	29556	29783	29972	30113	30221	30286	30326	30312
14	29027	27987	26975	27142	28336	28828	28838	29531	30703	30740	30099	31692	31022	30046	29771	29432	29304	29153	29343	29604	29831	30020	30161	30269	30334	30374
15	30060	29083	28025	27015	27182	28377	28870	28880	29573	30746	30782	30141	31735	31064	30091	29814	29476	29347	29196	29386	29648	29875	30064	30205	30313	30378
16	30657	30124	29128	28072	27063	27231	28427	28920	28930	29623	30796	30833	30192	31785	31116	30143	29865	29527	29398	29247	29437	29699	29926	30116	30257	30365
17	31830	30769	30212	29217	28162	27153	27322	28518	29012	29022	29716	30889	30929	30288	31881	31213	30239	29960	29623	29493	29342	29533	29795	30022	30212	30354
18	32612	32192	31085	30522	29528	28470	27458	27624	28821	29321	29333	30028	31206	31251	30611	32203	31541	30562	30280	29942	29810	29659	29850	30112	30341	30532
19	33734	33377	32874	31761	31193	30193	29127	28107	28267	29468	29981	29996	30695	31884	31937	31296	32889	32236	31248	30957	30617	30483	30330	30522	30785	31017
20	35028	34624	34158	33652	32538	31964	30959	29883	28852	29008	30218	30740	30758	31463	32665	32724	32078	33678	33028	32030	31733	31391	31255	31101	31293	31557
21	35258	35773	35249	34786	34283	33166	32593	31586	30503	29467	29621	30836	31363	31383	32092	33300	33364	32714	34319	33670	32667	32367	32026	31886	31732	31924
22	37784	35923	36300	35782	35325	34824	33711	33140	32131	31046	30008	30161	31378	31908	31929	32639	33850	33918	33266	34874	34226	33221	32919	32578	32437	32283
23	38453	38321	36306	36692	36180	35730	35236	34128	33560	32551	31470	30433	30588	31806	32334	32353	33065	34276	34343	33690	35301	34650	33645	33346	33004	32863
24	36695	38728	38440	36438	36837	36331	35891	35405	34302	33739	32733	31659	30629	30786	32000	32525	32542	33252	34459	34522	33871	35479	34826	33825	33530	33190
25	36179	36849	38737	38455	36469	36874	36377	35946	35464	34365	33806	32804	31737	30712	30871	32080	32601	32618	33326	34528	34591	33940	35544	34890	33895	33601
26	36253	36333	36878	38765	38490	36515	36929	36438	36010	35531	34435	33879	32880	31816	30796	30957	32163	32682	32697	33405	34603	34666	34015	35618	34962	33970
27	34898	36406	36372	36919	38812	38542	36578	36997	36508	36082	35603	34512	33958	32963	31901	30885	31044	32251	32767	32782	33488	34684	34748	34097	35698	35040
28	34875	35035	36441	36410	36965	38860	38593	36639	37060	36571	36147	35668	34580	34030	33036	31976	30962	31124	32328	32843	32857	33563	34759	34821	34172	35770
29	34277	34973	35045	36453	36428	36988	38884	38623	36672	37094	36607	36184	35705	34620	34071	33079	32022	31010	31172	32375	32890	32903	33609	34804	34866	34216
30	33152	34377	34992	35066	36479	36458	37021	38920	38658	36712	37134	36649	36226	35749	34667	34118	33129	32074	31062	31225	32428	32942	32956	33661	34854	34916
31	33589	33248	34400	35018	35098	36512	36495	37062	38958	38697	36756	37177	36692	36271	35795	34715	34167	33179	32126	31117	31280	32480	32995	33009	33713	34906
32	33800	33650	33249	34402	35023	35107	36521	36508	37075	38968	38709	36769	37192	36707	36288	35812	34735	34187	33201	32150	31143	31305	32505	33020	33034	33738
33	33945	33871	33667	33270	34425	35048	35135	36549	36539	37104	38996	38739	36803	37223	36741	36323	35847	34771	34224	33240	32191	31184	31345	32545	33060	33076
34	33300	34016	33894	33693	33299	34456	35080	35172	36584	36576	37141	39030	38775	36842	37260	36780	36363	35888	34812	34265	33283	32234	31229	31390	32590	33105
35	32397	33347	34022	33904	33706	33313	34471	35099	35192	36601	36596	37159	39046	38795	36863	37280	36801	36385	35910	34836	34289	33309	32261	31256	31417	32617
36	29842	32443	33358	34034	33919	33724	33335	34493	35121	35215	36623	36619	37182	39069	38819	36889	37305	36827	36412	35937	34864	34317	33339	32291	31288	31448
37	29753	29884	32451	33367	34047	33933	33741	33355	34511	35140	35234	36640	36640	37203	39088	38843	36913	37328	36851	36435	35962	34890	34344	33366	32319	31316
38	31344	29774	29878	32443	33362	34046	33933	33744	33356	34512	35142	35236	36642	36644	37208	39091	38848	36920	37334	36858	36442	35971	34899	34354	33377	32330
39	31368	31331	29742	29846	32410	33333	34015	33907	33719	33332	34486	35115	35211	36617	36619	37183	39065	38824	36899	37312	36837	36422	35952	34882	34338	33362
40	32149	31352	31292	29708	29814	32376	33300	33984	33877	33689	33303	34455	35086	35183	36587	36590	37154	39034	38797	36874	37288	36813	36400	35931	34862	34319
41	33967	32140	31325	31266	29686	29792	32352	33278	33964	33857	33671	33284	34436	35067	35164	36569	36574	37135	39016	38782	36863	37274	36801	36390	35921	34853
42	35725	33938	32100	31284	31227	29651	29757	32316	33242	33929	33823	33639	33254	34403	35035	35133	36537	36544	37106	38985	38754	36839	37247	36777	36366	35899
43	36863	35681	33885	32051	31237	31179	29609	29714	32271	33198	33885	33781	33599	33213	34362	34995	35094	36497	36507	37069	38946	38719	36807	37213	36746	36334
44	36585	36820	35632	33841	32010	31196	31141	29575	29678	32234	33162	33849	33747	33566	33181	34328	34962	35063	36466	36479	37042	38918	38693	36784	37190	36724
45	37998	36525	36753	35570	33784	31956	31144	31091	29528	29631	32184	33112	33800	33700	33519	33137	34283	34919	35021	36422	36438	37002	38878	38655	36749	37152
46	38731	37922	36446	36677	35498	33717	31893	31085	31032	29473	29575	32125	33054	33744	33645	33466	33085	34230	34867	34971	36370	36390	36953	38827	38608	36704
47	39506	38646	37838	36368	36599	35425	33649	31831	31025	30971	29416	29519	32066	32997	33687	33590	33411	33032	34177	34815	34920	36318	36342	36904	38776	38560
48	38983	39407	38550	37748	36281	36514	35345	33576	31762	30958	30906	29355	29458	32000	32933	33625	33529	33352	32974	34118	34757	34863	36261	36287	36849	38719
49	40584	38888	39312	38460	37662	36202	36438	35274	33509	31700	30899	30848	29299	29403	31942	32877	33570	33475	33300	32924	34067	34707	34815	36210	36238	36800
50	39732	40489	38803	39228	38381	37589	36136	36373	35214	33454	31650	30849	30800	29256	29359	31895	32832	33527	33434	33259	32885	34028	34669	34778	36173	36202
51	39875	39638	40398	38722	39147	38308	37521	36074	36312	35158	33403	31604	30803	30755	29215	29318	31852	32791	33487	33398	33224	32851	33993	34636	34746	36140
52	39351	39759	39530	40295	38628	39055	38223	37440	36000	36239	35092	33342	31547	30747	30701	29167	29270	31800	32742	33439	33351	33180	32808	33949	34593	34704
53	38243	39210	39627	39405	40173	38517	38945	38121	37343	35911	36151	35010	33266	31475	30678	30634	29106	29209	31734	32679	33376	33291	33122	32750	33890	34535
54	37187	38086	39063	39485	39269	40039	38396	38827	38008	37237	35812	36053	34919	33182	31397	30603	30561	29038	29141	31661	32609	33307	33224	33057	32686	33825
55	36592	37007	37916	38897	39323	39115	39887	38258	38690	37878	37113	35696	35939	34811	33083	31305	30515	30474	28958	29060	31576	32525	33222	33143	32977	32609
56	35552	36396	36827	37737	38721	39152	38952	39726	38109	38543	37739	36981	35572	35816	34696	32978	31206	30420	30379	28871	28973	31482	32433	33130	33053	32890
57	34895	35352	36208	36646	37558	38545	38981	38789	39564	37961	38396	37599	36849	35449	35693	34582	32871	31108	30326	30286	28785	28887	31389	32342	33040	32966
58	33754	34674	35149	36008	36450	37367	38356	38797	38612	39389	37798	38235	37448	36705	35313	35559	34456	32754	31000	30221	30184	28691	28793	31288	32241	32940
59	32194	33503	34440	34919	35781	36228	37147	38138	38583	38405	39184	37608	38046	37269	36532	35151	35398	34304	32614	30869	30094	30059	28575	28677	31164	32116
60	31896	31928	33250	34189	34674	35538	35990	36910	37902	38350	38182	38961	37400	37840	37072	36343	34975	35222	34139	32459	30725	29954	29921	28446	28548	31025
61	31236	31605	31665	32984	33924	34415	35282	35739	36660	37651	38105	37944	38723	37178	37620	36862	36142	34785	35033	33960	32292	30569	29803	29772	28307	28408
62	30105	30919	31313	31383	32698	33641	34136	35004	35466	36387	37378	37835	37683	38463	36934	37377	36630	35918	34574	34824	33761	32106	30395	29635	29606	28150
63	30290	29766	30602	31005	31084	32395	33340	33841	34709	35174	36096	37086	37547	37403	38184	36672	37116	36380	35677	34345	34597	33545	31905	30206	29452	29426
64	30600	29920	29435	30273	30683	30772	32078	33026	33530	34399	34868	35789	36778	37244	37109	37888	36396	36839	36115	35421	34102	34356	33316	31691	30005	29258
65	31190	30192	29558	29091	29929	30348	30446	31747	32695	33202	34072	34545	35464	36452	36922	36796	37575	36102	36544	35831	35148	33843	34099	33072	31462	29790
66	31986	30717	29773	29161	28713	29551	29976	30084	31379	32326	32836	33707	34182	35101	36085	36558	36442	37219	35767	36209	35508	34836	33546	33804	32790	31198
67	34396	31435	30234	29317	28728	28299	29138	29568	29685	30973	31918	32431	33299	33779	34695	35676	36152	36043	36819	35388	35832	35144	34483	33212	33469	32470
68	26017	33733	30883	29718	28832	28266	27855	28693	29128	29255	30534	31477	31990	32852	33335	34248	35225	35703	35602	36376	34970	35413	34739	34090	32838	33097
69	24005	25456	33073	30299	29171	28316	27773	27381	28217	28657	28794	30062	30998	31509	32367	32851	33760	34731	35212	35119	35890	34509	34953	34294	33658	32428
70	24560	23431	24902	32376	29679	28589	27767	27248	26878	27710	28154	28300	29554	30478	30991	31844	32330	33235	34199	34681	34597	35365	34012	34455	33812	33191
71	22961	23912	22865	24317	31638	29022	27972	27185	26692	26342	27170	27618	27770	29009	29925	30440	31288	31775	32674	33631	34113	34039	34802	33478	33921	33294
72	20722	22287	23270	22266	23698	30857	28325	27318	26564	26097	25768	26593	27043	27203	28429	29337	29853	30695	31182	32074	33023	33505	33440	34198	32904	33346
73	18871	20053	21629	22602	21642	23051	30040	27595	26631	25911	25470	25162	25981	26433	26603	27812	28712	29228	30064	30551	31434	32374	32855	32800	33550	32290
74	19059	18214	19413	20958	21918	21004	22388	29199	26843	25921	25237	24821	24535	25347	25801	25978	27172	28063	28577	29405	29891	30766	31695	32176	32131	32874
75	18503	18325	17572	18745	20255	21200	20333	21691	28314	26046	25168	24521	24131	23868	24672	25127	25311	26486	27367	27879	28699	29182	30046	30963	31442	31407
