2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													
38	63747	60118	61309	65723	68246	69639	70153	69272	68307	70580	70969	71580	73679	72955	73972	77572	77683	73099	72977	71800	70032	69018	66690	65334	63019	61609
39	64388	63770	60105	61294	65709	68209	69601	70120	69239	68275	70546	70936	71550	73648	72923	73942	77540	77654	73076	72952	71776	70010	68999	66673	65319	63005
40	65328	64401	63741	60083	61274	65662	68164	69558	70079	69199	68236	70505	70897	71512	73607	72886	73905	77500	77620	73046	72921	71747	69983	68974	66650	65296
41	69348	65351	64389	63731	60080	61244	65632	68138	69533	70055	69178	68217	70486	70877	71494	73588	72870	73888	77483	77607	73040	72913	71741	69980	68970	66649
42	73800	69344	65323	64361	63706	60041	61204	65592	68101	69496	70021	69146	68186	70453	70846	71467	73558	72843	73862	77457	77586	73024	72893	71723	69965	68956
43	76644	73768	69293	65277	64317	63648	59990	61151	65535	68049	69443	69972	69099	68142	70407	70799	71423	73514	72803	73820	77417	77551	72991	72859	71693	69938
44	75798	76604	73714	69247	65235	64260	63597	59944	61104	65486	68002	69397	69928	69057	68103	70364	70761	71385	73479	72773	73787	77383	77522	72968	72835	71671
45	78704	75735	76523	73642	69184	65164	64191	63530	59884	61043	65421	67938	69335	69869	69000	68048	70309	70708	71334	73428	72725	73742	77336	77479	72930	72795
46	80275	78621	75644	76435	73562	69099	65086	64117	63456	59818	60974	65350	67869	69267	69801	68938	67987	70248	70650	71276	73371	72672	73689	77283	77430	72885
47	80894	80167	78511	75543	76333	73459	69006	65001	64034	63374	59743	60897	65271	67791	69190	69728	68867	67919	70179	70583	71211	73305	72612	73626	77221	77371
48	80402	80763	80035	78388	75426	76212	73346	68903	64905	63939	63283	59660	60810	65182	67705	69104	69645	68787	67841	70101	70507	71135	73229	72541	73554	77148
49	83320	80269	80626	79904	78266	75305	76095	73237	68803	64814	63851	63197	59580	60729	65096	67621	69022	69566	68712	67768	70027	70434	71064	73157	72473	73487
50	82301	83174	80135	80495	79780	78142	75192	75982	73135	68710	64730	63767	63115	59508	60653	65017	67544	68948	69495	68644	67704	69960	70372	71002	73095	72415
51	82094	82150	83028	80003	80367	79654	78024	75084	75874	73037	68622	64650	63688	63038	59440	60581	64941	67473	68880	69429	68583	67646	69899	70315	70946	73040
52	80198	81916	81983	82868	79860	80219	79515	77894	74963	75755	72929	68525	64559	63599	62954	59365	60503	64860	67392	68803	69355	68513	67580	69829	70249	70881
53	78284	79976	81702	81781	82671	79673	80035	79340	77729	74810	75603	72790	68396	64440	63481	62843	59263	60399	64750	67285	68696	69253	68415	67484	69730	70153
54	75709	78018	79724	81454	81542	82431	79452	79820	79132	77534	74626	75420	72620	68239	64294	63340	62706	59137	60271	64614	67151	68564	69124	68291	67363	69606
55	75231	75415	77734	79446	81181	81274	82166	79209	79580	78901	77314	74418	75214	72427	68064	64132	63182	62552	58996	60126	64462	66999	68411	68975	68145	67224
56	73040	74910	75118	77436	79153	80888	80990	81888	78951	79326	78657	77081	74198	74995	72223	67879	63959	63013	62385	58844	59973	64300	66836	68248	68814	67991
57	71239	72701	74588	74807	77125	78845	80582	80695	81597	78681	79059	78400	76837	73967	74765	72009	67683	63777	62835	62213	58685	59813	64130	66665	68077	68646
58	68986	70858	72344	74233	74460	76779	78501	80243	80363	81270	78375	78757	78109	76560	73705	74505	71764	67458	63569	62633	62016	58503	59627	63935	66467	67880
59	66112	68560	70457	71945	73837	74070	76390	78114	79859	79989	80898	78028	78413	77778	76240	73406	74205	71483	67199	63326	62397	61786	58290	59411	63708	66237
60	65213	65674	68140	70039	71532	73423	73669	75986	77713	79457	79601	80513	77667	78056	77430	75908	73095	73895	71190	66929	63073	62150	61545	58068	59185	63469
61	64041	64738	65239	67699	69599	71097	72990	73247	75560	77288	79035	79189	80103	77283	77676	77062	75555	72762	73563	70877	66640	62804	61888	61288	57829	58943
62	61738	63517	64251	64765	67218	69119	70620	72515	72782	75089	76819	78565	78731	79648	76855	77253	76651	75161	72388	73189	70525	66316	62500	61590	60997	57558
63	62323	61173	62982	63729	64254	66698	68600	70106	71999	72276	74578	76308	78055	78232	79153	76386	76790	76199	74728	71977	72778	70135	65956	62164	61262	60675
64	62486	61689	60601	62411	63167	63702	66139	68041	69550	71441	71727	74025	75752	77500	77687	78610	75875	76281	75704	74250	71523	72327	69709	65560	61793	60899
65	64029	61779	61050	59991	61798	62566	63110	65540	67439	68950	70837	71133	73422	75150	76897	77096	78020	75317	75728	75163	73728	71029	71831	69240	65122	61387
66	65871	63215	61053	60354	59325	61129	61906	62463	64882	66779	68289	70174	70478	72760	74484	76230	76440	77365	74696	75112	74560	73144	70475	71277	68713	64634
67	71190	64926	62381	60267	59598	58601	60401	61186	61754	64160	66053	67563	69442	69755	72028	73746	75491	75709	76637	74003	74427	73889	72495	69857	70658	68123
68	53809	70052	63977	61492	59430	58791	57826	59618	60412	60993	63383	65270	66774	68643	68964	71227	72938	74679	74907	75837	73243	73672	73150	71779	69176	69976
69	50624	52849	68911	62964	60541	58531	57923	56991	58776	59578	60170	62543	64416	65909	67769	68099	70349	72053	73790	74029	74958	72405	72840	72337	70989	68425
70	51457	49621	51888	67692	61878	59519	57566	56991	56094	57871	58679	59281	61628	63482	64971	66821	67160	69396	71091	72820	73070	74000	71494	71933	71448	70127
71	49324	50326	48620	50863	66392	60717	58425	56532	55994	55131	56897	57712	58319	60642	62483	63965	65805	66154	68372	70058	71778	72039	72968	70510	70955	70489
72	45065	48123	49194	47552	49770	65002	59474	57258	55426	54922	54096	55853	56672	57287	59586	61414	62890	64716	65075	67274	68948	70657	70930	71858	69449	69899
73	41614	43865	46943	48012	46436	48623	63542	58172	56031	54261	53791	53003	54747	55571	56196	58469	60280	61748	63559	63928	66105	67766	69463	69748	70673	68321
74	42171	40412	42697	45721	46785	45275	47431	62022	56813	54746	53043	52609	51861	53589	54417	55048	57295	59088	60546	62340	62719	64873	66518	68203	68500	69422
75	40960	40823	39225	41466	44429	45485	44046	46166	60407	55363	53375	51739	51342	50635	52344	53175	53813	56032	57805	59251	61027	61415	63542	65170	66840	67149
76	39528	39522	39505	37985	40180	43075	44123	42757	44839	58707	53836	51932	50363	50004	49338	51028	51859	52504	54690	56440	57875	59628	60024	62121	63730	65383
77	37184	38004	38124	38137	36696	38840	41667	42706	41413	43455	56930	52239	50418	48921	48600	47975	49643	50474	51123	53273	54998	56420	58150	58551	60617	62207
78	35471	35600	36514	36661	36705	35343	37433	40186	41210	39992	41992	55048	50545	48811	47390	47107	46525	48166	48995	49647	51756	53454	54858	56561	56969	58999
79	33262	33782	34046	34948	35122	35195	33917	35949	38619	39629	38488	40438	53052	48741	47099	45754	45511	44971	46584	47407	48064	50128	51794	53178	54850	55265
80	30577	31491	32134	32423	33313	33512	33615	32422	34389	36971	37964	36901	38797	50940	46832	45284	44019	43814	43318	44898	45716	46373	48387	50019	51378	53016
81	28216	28767	29782	30433	30745	31618	31840	31970	30863	32762	35252	36224	35240	37078	48723	44828	43377	42194	42027	41575	43117	43926	44583	46544	48136	49470
82	27169	26350	27022	28017	28670	29005	29859	30101	30256	29238	31063	33454	34403	33499	35274	46394	42720	41368	40268	40138	39732	41233	42031	42685	44587	46136
83	24595	25162	24563	25230	26200	26853	27206	28040	28299	28479	27548	29293	31579	32501	31681	33386	43953	40508	39258	38242	38147	37787	39243	40027	40675	42513
84	21898	22561	23253	22737	23396	24338	24987	25354	26162	26439	26640	25796	27460	29633	30525	29785	31418	41402	38192	37046	36115	36057	35743	37146	37915	38555
85	19411	19880	20647	21322	20887	21535	22444	23085	23464	24243	24533	24753	23998	25574	27628	28488	27828	29383	38756	35790	34747	33903	33879	33611	34958	35707
86	16640	17417	18001	18732	19387	19031	19663	20534	21164	21550	22297	22597	22832	22165	23647	25575	26401	25820	27291	36035	33314	32375	31619	31625	31402	32686
87	14852	14735	15577	16135	16827	17457	17174	17789	18617	19229	19618	20330	20636	20882	20301	21685	23483	24269	23767	25148	33243	30770	29933	29263	29298	29118
88	13103	12964	13005	13775	14303	14953	15554	15341	15931	16712	17302	17689	18364	18671	18925	18426	19710	21373	22115	21687	22974	30408	28180	27445	26860	26921
89	10827	11266	11280	11340	12038	12537	13141	13709	13560	14120	14851	15412	15792	16427	16732	16988	16568	17749	19272	19969	19611	20802	27569	25584	24948	24443
90+	39542	39917	41303	42488	43557	45094	46879	48986	51357	53334	55600	58276	61163	64077	67229	70296	73236	75450	78453	82458	86610	89936	93918	103487	110164	115426
																										
2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
MALES													MALES													
All ages	2596384	2606380	2615525	2624553	2633805	2641471	2649274	2657192	2665039	2672772	2680379	2687775	2694898	2701686	2708088	2714047	2719538	2724520	2729000	2732980	2736491	2739518	2742121	2744345	2746220	2747786
0	28913	28602	28474	28315	28496	28710	28877	29006	29083	29119	29115	29084	28997	28867	28714	28530	28334	28143	27970	27827	27696	27576	27489	27449	27440	27459
1	29337	29099	28754	28626	28469	28623	28839	29009	29138	29215	29253	29250	29218	29133	29002	28849	28665	28470	28278	28106	27963	27832	27711	27624	27584	27575
2	30424	29483	29208	28863	28737	28553	28709	28929	29100	29229	29307	29345	29342	29310	29225	29092	28939	28755	28562	28370	28198	28055	27923	27802	27715	27675
3	31184	30531	29556	29282	28938	28789	28607	28764	28986	29156	29286	29364	29402	29399	29367	29283	29150	28996	28812	28619	28427	28254	28111	27979	27859	27771
4	29656	31269	30586	29614	29340	28977	28827	28648	28805	29026	29197	29328	29405	29445	29442	29410	29325	29192	29039	28854	28661	28469	28296	28153	28021	27901
5	30352	29735	31321	30640	29670	29379	29016	28867	28689	28845	29066	29237	29368	29446	29486	29483	29451	29366	29233	29080	28895	28702	28510	28337	28193	28061
6	30378	30425	29784	31371	30692	29708	29417	29054	28905	28726	28883	29103	29275	29406	29484	29525	29522	29489	29404	29272	29119	28934	28742	28548	28375	28231
7	29262	30442	30471	29831	31417	30728	29742	29453	29089	28940	28761	28918	29138	29310	29441	29520	29561	29558	29525	29440	29308	29155	28970	28778	28584	28410
8	28610	29314	30478	30509	29868	31444	30756	29771	29480	29117	28966	28788	28946	29164	29338	29469	29548	29588	29587	29554	29469	29337	29184	28999	28807	28613
9	28635	28657	29345	30511	30543	29892	31468	30782	29796	29505	29141	28990	28812	28970	29188	29363	29495	29573	29613	29612	29580	29495	29363	29210	29025	28832
10	28184	28687	28694	29383	30551	30575	29922	31499	30813	29826	29536	29171	29021	28843	29001	29219	29394	29526	29605	29645	29645	29612	29527	29394	29243	29057
11	27029	28239	28726	28734	29425	30584	30610	29956	31534	30847	29860	29569	29204	29055	28875	29035	29253	29428	29559	29638	29678	29679	29646	29561	29428	29278
12	26889	27070	28264	28753	28762	29443	30603	30631	29976	31555	30869	29880	29588	29224	29075	28895	29055	29273	29448	29579	29658	29698	29700	29666	29581	29448
13	27929	26934	27099	28293	28783	28782	29463	30625	30652	29997	31578	30893	29902	29610	29247	29097	28917	29079	29295	29471	29602	29681	29721	29723	29690	29604
14	29027	27987	26975	27142	28336	28815	28815	29496	30659	30686	30031	31612	30927	29936	29645	29281	29131	28952	29114	29330	29507	29638	29717	29756	29759	29726
15	30060	29083	28025	27015	27182	28364	28843	28844	29524	30687	30714	30059	31641	30956	29967	29675	29311	29160	28981	29144	29360	29537	29668	29747	29786	29789
16	30657	30124	29128	28072	27063	27216	28398	28877	28878	29559	30721	30749	30095	31675	30992	30003	29710	29346	29195	29016	29179	29395	29572	29705	29783	29822
17	31830	30769	30212	29217	28162	27133	27287	28469	28949	28950	29633	30794	30825	30171	31751	31069	30079	29786	29422	29270	29091	29255	29471	29648	29781	29860
18	32612	32192	31085	30522	29528	28426	27394	27546	28728	29214	29218	29901	31067	31104	30450	32030	31353	30359	30063	29697	29543	29365	29528	29745	29924	30058
19	33734	33377	32874	31761	31193	30113	29002	27960	28107	29293	29791	29800	30486	31662	31708	31053	32634	31965	30963	30660	30291	30134	29955	30118	30336	30517
20	35028	34624	34158	33652	32538	31858	30774	29652	28599	28742	29937	30443	30456	31148	32337	32388	31730	33317	32650	31638	31330	30958	30799	30619	30782	31002
21	35258	35773	35249	34786	34283	33054	32375	31289	30159	29101	29242	30442	30953	30969	31665	32859	32915	32253	33845	33179	32162	31851	31480	31317	31137	31300
22	37784	35923	36300	35782	35325	34701	33475	32797	31709	30577	29517	29658	30859	31374	31390	32087	33285	33344	32681	34275	33611	32591	32279	31907	31743	31563
23	38453	38321	36306	36692	36180	35595	34977	33755	33081	31993	30864	29805	29948	31150	31663	31678	32377	33574	33633	32968	34566	33898	32878	32569	32197	32033
24	36695	38728	38440	36438	36837	36209	35633	35022	33806	33137	32052	30930	29878	30022	31221	31730	31743	32440	33633	33689	33026	34621	33950	32935	32630	32259
25	36179	36849	38737	38455	36469	36773	36153	35586	34979	33768	33103	32022	30907	29860	30005	31200	31706	31718	32412	33600	33655	32994	34584	33913	32902	32601
26	36253	36333	36878	38765	38490	36424	36736	36121	35557	34953	33745	33083	32006	30895	29852	29999	31191	31695	31705	32399	33584	33636	32978	34565	33894	32883
27	34898	36406	36372	36919	38812	38461	36405	36722	36109	35548	34944	33740	33080	32006	30897	29858	30004	31196	31697	31708	32400	33583	33635	32979	34562	33891
28	34875	35035	36441	36410	36965	38789	38440	36394	36714	36101	35542	34938	33736	33080	32008	30901	29864	30012	31202	31702	31712	32404	33587	33637	32982	34563
29	34277	34973	35045	36453	36428	36927	38752	38408	36365	36686	36075	35517	34913	33715	33060	31990	30886	29851	29999	31188	31688	31697	32389	33571	33620	32965
30	33152	34377	34992	35066	36479	36402	36905	38731	38386	36348	36670	36061	35503	34901	33706	33051	31984	30882	29847	29996	31185	31684	31694	32385	33565	33614
31	33589	33248	34400	35018	35098	36463	36389	36896	38719	38374	36341	36662	36055	35498	34898	33704	33051	31985	30884	29852	30002	31187	31687	31699	32388	33567
32	33800	33650	33249	34402	35023	35064	36429	36359	36866	38687	38344	36312	36634	36029	35473	34874	33682	33030	31966	30868	29837	29987	31172	31671	31682	32373
33	33945	33871	33667	33270	34425	35010	35053	36419	36351	36857	38676	38335	36308	36627	36025	35470	34872	33681	33030	31968	30872	29841	29990	31175	31674	31686
34	33300	34016	33894	33693	33299	34424	35009	35057	36421	36354	36860	38677	38338	36313	36631	36031	35477	34880	33690	33039	31979	30883	29854	30003	31188	31687
35	32397	33347	34022	33904	33706	33286	34411	35000	35048	36411	36346	36850	38666	38331	36306	36623	36024	35471	34875	33687	33036	31978	30883	29855	30004	31189
36	29842	32443	33358	34034	33919	33698	33282	34407	34997	35045	36407	36343	36848	38664	38330	36308	36624	36027	35474	34879	33692	33041	31986	30890	29863	30013
37	29753	29884	32451	33367	34047	33912	33694	33280	34402	34994	35041	36402	36342	36846	38661	38332	36311	36626	36031	35477	34883	33699	33047	31994	30897	29870
38	31344	29774	29878	32443	33362	34027	33893	33678	33264	34385	34978	35024	36386	36329	36832	38646	38319	36300	36614	36021	35467	34875	33692	33041	31989	30893
39	31368	31331	29742	29846	32410	33319	33982	33852	33638	33225	34344	34936	34985	36347	36289	36793	38606	38281	36265	36578	35987	35433	34843	33662	33012	31961
40	32149	31352	31292	29708	29814	32363	33272	33936	33808	33594	33182	34299	34893	34943	36302	36247	36751	38561	38240	36227	36540	35950	35398	34809	33630	32980
41	33967	32140	31325	31266	29686	29779	32326	33237	33902	33775	33562	33152	34268	34861	34913	36271	36217	36721	38531	38213	36204	36516	35928	35378	34788	33611
42	35725	33938	32100	31284	31227	29642	29736	32281	33194	33858	33734	33521	33112	34226	34820	34875	36231	36178	36684	38493	38179	36172	36482	35896	35347	34758
43	36863	35681	33885	32051	31237	31173	29593	29687	32228	33144	33808	33686	33474	33066	34179	34772	34829	36185	36135	36639	38449	38139	36133	36442	35859	35312
44	36585	36820	35632	33841	32010	31189	31128	29552	29646	32184	33102	33766	33646	33434	33028	34139	34734	34793	36149	36102	36605	38415	38108	36105	36415	35832
45	37998	36525	36753	35570	33784	31951	31131	31072	29501	29594	32128	33047	33712	33594	33382	32979	34090	34685	34746	36101	36056	36561	38370	38066	36066	36374
46	38731	37922	36446	36677	35498	33712	31884	31068	31008	29441	29533	32065	32985	33651	33533	33324	32922	34032	34630	34691	36045	36003	36509	38316	38015	36017
47	39506	38646	37838	36368	36599	35421	33640	31818	31003	30943	29382	29473	32002	32923	33590	33475	33266	32867	33975	34575	34637	35990	35951	36456	38263	37964
48	38983	39407	38550	37748	36281	36512	35338	33564	31746	30932	30874	29318	29408	31934	32858	33524	33412	33203	32806	33914	34515	34577	35931	35894	36398	38203
49	40584	38888	39312	38460	37662	36198	36432	35263	33494	31681	30870	30812	29260	29350	31872	32799	33465	33355	33148	32753	33860	34461	34525	35878	35843	36347
50	39732	40489	38803	39228	38381	37585	36128	36363	35199	33435	31627	30816	30760	29213	29302	31821	32751	33418	33310	33104	32711	33817	34420	34485	35838	35804
51	39875	39638	40398	38722	39147	38306	37514	36062	36299	35139	33381	31577	30767	30712	29169	29258	31775	32707	33375	33270	33066	32674	33778	34385	34450	35803
52	39351	39759	39530	40295	38628	39052	38218	37431	35985	36224	35069	33318	31517	30708	30656	29118	29207	31721	32654	33324	33221	33018	32629	33731	34339	34406
53	38243	39210	39627	39405	40173	38514	38940	38113	37331	35893	36134	34985	33239	31443	30636	30588	29055	29143	31653	32589	33258	33159	32958	32570	33671	34279
54	37187	38086	39063	39485	39269	40037	38391	38820	37998	37224	35792	36034	34893	33153	31363	30559	30513	28985	29074	31578	32517	33187	33090	32891	32505	33605
55	36592	37007	37916	38897	39323	39114	39883	38251	38681	37866	37098	35674	35918	34783	33053	31270	30469	30424	28903	28992	31491	32431	33100	33007	32809	32426
56	35552	36396	36827	37737	38721	39150	38949	39720	38100	38532	37725	36964	35548	35794	34666	32946	31169	30372	30327	28814	28903	31396	32338	33007	32916	32720
57	34895	35352	36208	36646	37558	38544	38977	38784	39557	37951	38383	37584	36831	35423	35670	34550	32839	31070	30276	30232	28726	28817	31302	32246	32915	32827
58	33754	34674	35149	36008	36450	37365	38353	38791	38604	39379	37787	38220	37430	36685	35285	35534	34421	32719	30960	30171	30128	28630	28720	31198	32143	32813
59	32194	33503	34440	34919	35781	36227	37144	38134	38576	38396	39172	37596	38030	37250	36511	35122	35372	34268	32578	30827	30043	30002	28513	28603	31074	32018
60	31896	31928	33250	34189	34674	35537	35989	36907	37898	38343	38173	38949	37388	37824	37053	36323	34946	35197	34102	32423	30682	29902	29863	28384	28474	30936
61	31236	31605	31665	32984	33924	34415	35280	35737	36656	37647	38097	37934	38710	37166	37603	36842	36121	34755	35008	33922	32256	30526	29751	29714	28244	28334
62	30105	30919	31313	31383	32698	33640	34135	35002	35464	36382	37374	37827	37672	38449	36921	37360	36609	35898	34544	34798	33723	32071	30352	29582	29548	28088
63	30290	29766	30602	31005	31084	32395	33339	33839	34706	35172	36090	37081	37539	37392	38170	36658	37099	36358	35657	34316	34571	33506	31869	30163	29399	29367
64	30600	29920	29435	30273	30683	30771	32078	33024	33528	34395	34865	35783	36773	37235	37097	37873	36382	36822	36092	35400	34073	34330	33278	31655	29962	29204
65	31190	30192	29558	29091	29929	30348	30444	31747	32692	33200	34068	34541	35457	36447	36913	36784	37559	36087	36528	35808	35127	33815	34072	33033	31425	29748
66	31986	30717	29773	29161	28713	29551	29976	30082	31379	32324	32834	33703	34178	35094	36080	36550	36430	37203	35752	36194	35485	34815	33519	33777	32751	31161
67	34396	31435	30234	29317	28728	28300	29138	29569	29684	30973	31916	32430	33296	33775	34689	35671	36145	36032	36804	35374	35819	35122	34464	33185	33443	32432
68	26017	33733	30883	29718	28832	28266	27857	28693	29129	29255	30535	31475	31989	32850	33331	34243	35220	35696	35591	36361	34956	35401	34717	34072	32812	33071
69	24005	25456	33073	30299	29171	28316	27773	27383	28217	28658	28794	30063	30996	31508	32365	32847	33755	34726	35206	35109	35875	34495	34941	34272	33640	32402
70	24560	23431	24902	32376	29679	28589	27767	27248	26879	27710	28155	28300	29554	30476	30989	31842	32326	33229	34194	34674	34586	35349	33997	34443	33789	33172
71	22961	23912	22865	24317	31638	29022	27971	27183	26691	26341	27168	27617	27769	29007	29923	30436	31285	31771	32666	33625	34106	34027	34785	33462	33908	33270
72	20722	22287	23270	22266	23698	30856	28324	27317	26562	26096	25767	26591	27042	27202	28426	29335	29848	30691	31178	32066	33017	33498	33428	34181	32888	33333
73	18871	20053	21629	22602	21642	23051	30039	27594	26630	25909	25469	25161	25979	26432	26602	27809	28710	29223	30060	30547	31426	32368	32848	32788	33534	32274
74	19059	18214	19413	20958	21918	21003	22387	29198	26842	25919	25234	24820	24534	25345	25800	25977	27168	28060	28571	29401	29887	30757	31688	32168	32118	32857
