2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													
38	63747	60118	61309	65723	68246	69604	70079	69150	68133	70348	70670	71203	73213	72382	73282	76740	76693	71924	71587	70158	68083	66783	64203	62615	60114	58624
39	64388	63770	60105	61294	65709	68181	69537	70019	69089	68073	70286	70609	71144	73156	72325	73224	76681	76637	71876	71535	70109	68036	66738	64162	62574	60077
40	65328	64401	63741	60083	61274	65635	68111	69469	69951	69022	68008	70219	70545	71080	73091	72264	73162	76616	76577	71821	71479	70057	67986	66690	64118	62531
41	69348	65351	64389	63731	60080	61222	65580	68060	69421	69904	68978	67965	70175	70503	71036	73049	72225	73122	76577	76543	71794	71448	70028	67961	66666	64095
42	73800	69344	65323	64361	63706	60020	61162	65520	68003	69364	69849	68926	67917	70123	70454	70987	73001	72180	73078	76530	76504	71760	71409	69994	67928	66636
43	76644	73768	69293	65277	64317	63630	59952	61091	65447	67933	69296	69783	68862	67854	70060	70393	70928	72939	72126	73023	76473	76452	71715	71361	69950	67887
44	75798	76604	73714	69247	65235	64247	63564	59891	61028	65384	67870	69234	69723	68806	67800	70004	70340	70875	72888	72079	72976	76427	76409	71679	71323	69916
45	78704	75735	76523	73642	69184	65150	64165	63485	59818	60953	65307	67793	69160	69651	68736	67732	69935	70274	70811	72825	72019	72919	76368	76354	71630	71272
46	80275	78621	75644	76435	73562	69088	65061	64080	63400	59740	60872	65224	67714	69081	69573	68662	67661	69863	70206	70743	72758	71955	72857	76305	76294	71575
47	80894	80167	78511	75543	76333	73450	68984	64965	63986	63308	59655	60786	65134	67625	68995	69490	68581	67584	69784	70129	70668	72683	71884	72786	76235	76226
48	80402	80763	80035	78388	75426	76201	73328	68871	64860	63882	63208	59562	60690	65036	67529	68900	69398	68493	67498	69697	70043	70583	72599	71804	72706	76156
49	83320	80269	80626	79904	78266	75297	76074	73210	68762	64758	63785	63112	59472	60599	64941	67435	68810	69310	68409	67416	69614	69963	70506	72518	71729	72632
50	82301	83174	80135	80495	79780	78134	75177	75953	73099	68662	64665	63694	63022	59392	60515	64854	67350	68729	69231	68334	67345	69541	69893	70438	72447	71663
51	82094	82150	83028	80003	80367	79646	78009	75063	75838	72995	68567	64579	63608	62938	59318	60438	64772	67273	68655	69159	68268	67281	69476	69831	70378	72385
52	80198	81916	81983	82868	79860	80212	79499	77871	74935	75711	72880	68462	64481	63513	62848	59235	60354	64683	67185	68571	69079	68192	67207	69400	69758	70308
53	78284	79976	81702	81781	82671	79666	80021	79317	77699	74775	75552	72734	68327	64355	63390	62730	59126	60243	64566	67071	68458	68970	68089	67104	69295	69657
54	75709	78018	79724	81454	81542	82428	79440	79799	79104	77497	74584	75362	72558	68163	64204	63243	62586	58995	60109	64424	66931	68322	68835	67959	66977	69166
55	75231	75415	77734	79446	81181	81269	82157	79192	79553	78868	77272	74371	75150	72360	67982	64036	63079	62426	58849	59960	64267	66773	68164	68682	67810	66833
56	73040	74910	75118	77436	79153	80884	80982	81873	78929	79294	78619	77034	74147	74927	72152	67791	63858	62905	62258	58694	59803	64100	66606	67997	68518	67653
57	71239	72701	74588	74807	77125	78841	80574	80684	81578	78655	79024	78358	76787	73912	74694	71935	67592	63673	62722	62082	58533	59639	63927	66432	67822	68348
58	68986	70858	72344	74233	74460	76775	78494	80231	80349	81247	78346	78718	78063	76507	73647	74432	71686	67364	63461	62515	61881	58348	59450	63729	66232	67623
59	66112	68560	70457	71945	73837	74066	76382	78103	79842	79971	80872	77995	78371	77727	76184	73344	74131	71402	67101	63218	62277	61647	58131	59231	63498	65998
60	65213	65674	68140	70039	71532	73422	73663	75976	77700	79439	79580	80485	77631	78013	77379	75850	73031	73818	71108	66828	62965	62029	61405	57909	59005	63257
61	64041	64738	65239	67699	69599	71094	72986	73239	75547	77273	79016	79165	80073	77244	77631	77009	75496	72696	73482	70793	66536	62694	61765	61145	57669	58760
62	61738	63517	64251	64765	67218	69117	70617	72508	72772	75074	76800	78545	78705	79616	76815	77205	76596	75099	72321	73108	70438	66208	62389	61465	60852	57397
63	62323	61173	62982	63729	64254	66697	68597	70102	71992	72265	74563	76289	78034	78204	79119	76346	76740	76144	74664	71909	72697	70047	65849	62052	61137	60530
64	62486	61689	60601	62411	63167	63704	66137	68039	69544	71434	71715	74009	75732	77479	77660	78577	75834	76231	75650	74186	71456	72246	69619	65452	61681	60775
65	64029	61779	61050	59991	61798	62563	63111	65536	67436	68942	70830	71120	73406	75128	76875	77067	77987	75274	75676	75109	73663	70960	71751	69149	65016	61274
66	65871	63215	61053	60354	59325	61127	61901	62461	64877	66774	68279	70164	70462	72742	74460	76207	76410	77330	74652	75058	74504	73079	70404	71198	68620	64526
67	71190	64926	62381	60267	59598	58600	60399	61181	61750	64156	66047	67553	69431	69740	72009	73722	75466	75679	76601	73960	74371	73834	72429	69786	70580	68031
68	53809	70052	63977	61492	59430	58791	57824	59618	60408	60988	63379	65265	66766	68632	68951	71207	72915	74655	74880	75803	73202	73617	73097	71714	69105	69901
69	50624	52849	68911	62964	60541	58532	57925	56990	58778	59576	60166	62540	64412	65902	67758	68087	70330	72032	73766	74002	74924	72366	72788	72285	70927	68356
70	51457	49621	51888	67692	61878	59520	57567	56993	56094	57873	58678	59277	61626	63479	64967	66811	67149	69378	71072	72798	73045	73968	71457	71883	71397	70067
71	49324	50326	48620	50863	66392	60716	58426	56534	55995	55131	56900	57711	58315	60640	62479	63961	65796	66143	68355	70039	71756	72013	72936	70474	70904	70438
72	45065	48123	49194	47552	49770	65003	59474	57258	55429	54924	54096	55855	56670	57283	59586	61410	62885	64706	65064	67257	68929	70635	70903	71825	69414	69850
73	41614	43865	46943	48012	46436	48622	63542	58173	56030	54262	53792	53003	54749	55569	56190	58469	60276	61743	63549	63916	66088	67747	69441	69721	70640	68285
74	42171	40412	42697	45721	46785	45274	47429	62021	56813	54744	53043	52609	51860	53590	54414	55041	57294	59083	60539	62330	62706	64856	66498	68181	68473	69389
75	40960	40823	39225	41466	44429	45485	44045	46164	60406	55363	53373	51739	51342	50634	52345	53173	53806	56031	57800	59244	61017	61402	63524	65150	66819	67122
76	39528	39522	39505	37985	40180	43076	44123	42756	44836	58706	53836	51930	50363	50005	49338	51028	51859	52497	54688	56434	57866	59619	60012	62103	63711	65364
77	37184	38004	38124	38137	36696	38839	41666	42705	41411	43449	56928	52237	50416	48920	48600	47975	49640	50472	51116	53270	54993	56410	58138	58539	60598	62186
78	35471	35600	36514	36661	36705	35343	37433	40184	41209	39990	41984	55046	50541	48808	47386	47104	46524	48161	48992	49639	51753	53448	54849	56548	56956	58981
79	33262	33782	34046	34948	35122	35195	33917	35949	38617	39628	38485	40430	53050	48738	47097	45750	45507	44970	46578	47404	48056	50125	51789	53170	54838	55252
80	30577	31491	32134	32423	33313	33512	33615	32422	34389	36969	37963	36898	38789	50938	46830	45282	44015	43810	43317	44892	45713	46365	48385	50014	51369	53005
81	28216	28767	29782	30433	30745	31618	31840	31970	30863	32762	35250	36223	35237	37070	48721	44826	43375	42190	42023	41574	43112	43924	44575	46542	48131	49461
82	27169	26350	27022	28017	28670	29006	29860	30103	30257	29239	31064	33453	34402	33497	35267	46392	42720	41369	40266	40136	39733	41228	42029	42678	44585	46133
83	24595	25162	24563	25230	26200	26854	27208	28040	28302	28481	27551	29295	31580	32502	31680	33381	43950	40508	39258	38241	38146	37790	39240	40026	40671	42511
84	21898	22561	23253	22737	23396	24339	24988	25357	26164	26442	26641	25800	27462	29635	30526	29785	31413	41400	38192	37045	36115	36056	35745	37144	37914	38551
85	19411	19880	20647	21322	20887	21535	22446	23086	23467	24246	24537	24754	24003	25576	27631	28489	27829	29378	38755	35791	34746	33904	33879	33613	34956	35707
86	16640	17417	18001	18732	19387	19031	19663	20537	21166	21554	22301	22602	22833	22170	23650	25578	26402	25821	27286	36035	33315	32374	31619	31626	31404	32685
87	14852	14735	15577	16135	16827	17458	17175	17789	18620	19231	19621	20334	20642	20884	20306	21688	23487	24271	23769	25143	33243	30772	29933	29263	29299	29120
88	13103	12964	13005	13775	14303	14953	15555	15342	15931	16715	17304	17692	18367	18677	18926	18430	19713	21377	22115	21689	22969	30408	28180	27444	26860	26921
89	10827	11266	11280	11340	12038	12535	13140	13709	13560	14119	14853	15414	15795	16429	16737	16988	16569	17750	19275	19968	19611	20795	27568	25583	24946	24442
90+	39542	39917	41303	42488	43557	45094	46877	48983	51353	53330	55594	58271	61158	64075	67230	70301	73242	75456	78458	82464	86613	89940	93912	103481	110157	115418
																										
2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
MALES													MALES													
All ages	2596384	2606380	2615525	2624553	2633805	2639624	2645522	2651464	2657279	2662912	2668352	2673513	2678332	2682747	2686703	2690145	2693052	2695403	2697189	2698428	2699150	2699366	2699119	2698468	2697449	2696105
0	28913	28602	28474	28315	28496	28671	28787	28853	28871	28842	28770	28667	28511	28306	28079	27825	27563	27310	27079	26883	26707	26548	26431	26357	26324	26321
1	29337	29099	28754	28626	28469	28593	28770	28889	28956	28974	28946	28874	28772	28617	28411	28184	27930	27668	27417	27185	26989	26814	26654	26537	26463	26430
2	30424	29483	29208	28863	28737	28526	28651	28832	28951	29018	29037	29010	28937	28836	28680	28473	28246	27993	27731	27481	27249	27053	26876	26716	26599	26525
3	31184	30531	29556	29282	28938	28765	28556	28683	28865	28984	29051	29070	29043	28971	28870	28714	28507	28280	28027	27765	27515	27283	27087	26909	26749	26632
4	29656	31269	30586	29614	29340	28956	28782	28576	28704	28884	29005	29073	29091	29065	28993	28893	28736	28528	28302	28048	27786	27536	27304	27108	26931	26770
5	30352	29735	31321	30640	29670	29361	28977	28804	28599	28726	28906	29027	29095	29114	29088	29016	28916	28759	28551	28325	28071	27809	27559	27327	27130	26953
6	30378	30425	29784	31371	30692	29693	29384	29000	28826	28621	28748	28927	29049	29117	29136	29111	29039	28939	28782	28575	28348	28095	27833	27582	27350	27152
7	29262	30442	30471	29831	31417	30714	29713	29405	29020	28846	28641	28768	28948	29069	29138	29158	29133	29059	28960	28803	28597	28369	28117	27854	27604	27372
8	28610	29314	30478	30509	29868	31432	30729	29728	29420	29035	28860	28655	28782	28962	29083	29153	29173	29148	29074	28975	28818	28612	28385	28133	27870	27620
9	28635	28657	29345	30511	30543	29881	31445	30744	29741	29433	29048	28873	28669	28795	28976	29097	29167	29187	29163	29090	28991	28834	28628	28399	28148	27884
10	28184	28687	28694	29383	30551	30563	29901	31466	30765	29761	29453	29068	28893	28689	28815	28996	29118	29188	29208	29184	29112	29012	28855	28649	28421	28169
11	27029	28239	28726	28734	29425	30573	30587	29925	31491	30789	29785	29476	29091	28917	28711	28839	29020	29142	29211	29231	29208	29136	29036	28879	28673	28446
12	26889	27070	28264	28753	28762	29432	30581	30598	29934	31501	30800	29795	29484	29100	28927	28720	28848	29030	29151	29221	29241	29218	29146	29046	28889	28683
13	27929	26934	27099	28293	28783	28771	29441	30590	30608	29944	31512	30811	29806	29495	29111	28938	28730	28859	29041	29162	29232	29252	29230	29157	29057	28900
14	29027	27987	26975	27142	28336	28803	28792	29462	30611	30629	29966	31534	30832	29827	29517	29132	28960	28753	28881	29063	29185	29255	29275	29252	29181	29080
15	30060	29083	28025	27015	27182	28350	28818	28808	29477	30626	30644	29981	31550	30848	29845	29534	29149	28976	28769	28898	29080	29202	29272	29292	29269	29198
16	30657	30124	29128	28072	27063	27201	28369	28837	28827	29497	30645	30664	30002	31569	30869	29866	29554	29169	28996	28789	28918	29100	29222	29294	29313	29290
17	31830	30769	30212	29217	28162	27114	27252	28421	28889	28880	29551	30698	30720	30058	31626	30927	29923	29610	29225	29052	28844	28974	29156	29278	29351	29371
18	32612	32192	31085	30522	29528	28383	27332	27467	28637	29110	29105	29776	30928	30956	30293	31861	31167	30161	29844	29456	29282	29075	29204	29387	29510	29585
19	33734	33377	32874	31761	31193	30030	28877	27816	27946	29120	29605	29605	30279	31441	31478	30814	32383	31697	30683	30359	29968	29791	29583	29712	29896	30022
20	35028	34624	34158	33652	32538	31753	30584	29422	28349	28477	29659	30153	30156	30836	32010	32052	31386	32960	32276	31253	30923	30529	30351	30142	30271	30458
21	35258	35773	35249	34786	34283	32943	32157	30986	29817	28738	28864	30051	30550	30556	31241	32421	32466	31797	33376	32693	31665	31333	30938	30757	30548	30676
22	37784	35923	36300	35782	35325	34577	33239	32455	31282	30111	29030	29156	30345	30847	30853	31539	32723	32771	32101	33682	33001	31971	31637	31241	31059	30851
23	38453	38321	36306	36692	36180	35460	34717	33385	32603	31431	30262	29183	29312	30501	31000	31006	31694	32877	32924	32253	33837	33153	32123	31792	31396	31214
24	36695	38728	38440	36438	36837	36088	35376	34639	33314	32536	31368	30204	29132	29264	30449	30944	30949	31636	32814	32857	32188	33770	33082	32058	31729	31336
25	36179	36849	38737	38455	36469	36673	35930	35225	34492	33173	32399	31235	30078	29010	29144	30324	30816	30821	31504	32678	32720	32053	33629	32942	31923	31596
26	36253	36333	36878	38765	38490	36333	36545	35807	35106	34375	33059	32288	31127	29974	28910	29047	30223	30713	30717	31400	32570	32611	31945	33519	32831	31814
27	34898	36406	36372	36919	38812	38378	36231	36447	35712	35013	34283	32971	32203	31045	29895	28834	28970	30146	30634	30637	31319	32487	32529	31863	33435	32746
28	34875	35035	36441	36410	36965	38718	38287	36148	36367	35632	34934	34206	32896	32132	30975	29828	28768	28907	30080	30568	30570	31251	32418	32461	31795	33363
29	34277	34973	35045	36453	36428	36867	38620	38194	36059	36278	35546	34848	34121	32815	32051	30897	29753	28695	28834	30006	30492	30495	31176	32341	32383	31718
30	33152	34377	34992	35066	36479	36347	36789	38543	38117	35987	36206	35476	34779	34054	32751	31987	30836	29694	28636	28777	29948	30433	30437	31117	32280	32322
31	33589	33248	34400	35018	35098	36413	36284	36729	38481	38056	35931	36149	35419	34725	34001	32700	31937	30788	29648	28592	28733	29902	30387	30392	31071	32234
32	33800	33650	33249	34402	35023	35022	36337	36212	36656	38406	37983	35859	36079	35350	34658	33934	32636	31874	30727	29590	28535	28675	29844	30329	30334	31013
33	33945	33871	33667	33270	34425	34972	34973	36289	36165	36609	38357	37936	35816	36034	35308	34617	33895	32598	31837	30693	29557	28502	28641	29810	30296	30302
34	33300	34016	33894	33693	33299	34390	34939	34943	36258	36135	36580	38326	37906	35789	36006	35283	34591	33871	32575	31815	30673	29538	28484	28623	29791	30277
35	32397	33347	34022	33904	33706	33259	34349	34902	34907	36219	36099	36542	38287	37870	35755	35971	35250	34560	33840	32546	31787	30646	29514	28460	28598	29767
36	29842	32443	33358	34034	33919	33673	33230	34321	34874	34880	36191	36072	36516	38261	37845	35733	35947	35229	34539	33820	32527	31769	30630	29498	28446	28583
37	29753	29884	32451	33367	34047	33890	33646	33205	34294	34848	34855	36165	36049	36494	38237	37826	35715	35927	35212	34522	33804	32513	31756	30617	29487	28435
38	31344	29774	29878	32443	33362	34010	33854	33614	33171	34260	34814	34822	36132	36018	36464	38205	37797	35688	35899	35186	34496	33781	32490	31735	30597	29467
39	31368	31331	29742	29846	32410	33305	33951	33800	33560	33118	34205	34759	34769	36080	35966	36412	38152	37746	35641	35850	35140	34450	33737	32449	31694	30558
40	32149	31352	31292	29708	29814	32348	33245	33892	33742	33502	33062	34147	34702	34713	36022	35911	36356	38095	37692	35590	35799	35091	34403	33692	32406	31652
41	33967	32140	31325	31266	29686	29767	32298	33197	33846	33696	33458	33018	34103	34658	34669	35979	35870	36313	38053	37654	35556	35762	35056	34370	33661	32376
42	35725	33938	32100	31284	31227	29633	29714	32244	33144	33794	33645	33409	32971	34053	34609	34621	35930	35824	36268	38006	37611	35517	35720	35018	34332	33625
43	36863	35681	33885	32051	31237	31165	29577	29657	32185	33086	33737	33590	33355	32917	33999	34556	34569	35877	35775	36218	37956	37564	35474	35675	34976	34291
44	36585	36820	35632	33841	32010	31183	31114	29529	29609	32135	33037	33687	33542	33309	32873	33953	34512	34526	35834	35734	36178	37917	37527	35441	35641	34945
45	37998	36525	36753	35570	33784	31946	31120	31054	29472	29551	32074	32977	33628	33485	33252	32819	33898	34458	34474	35782	35684	36130	37867	37480	35398	35596
46	38731	37922	36446	36677	35498	33708	31875	31053	30986	29408	29486	32007	32912	33563	33420	33190	32758	33837	34399	34415	35723	35627	36075	37811	37426	35347
47	39506	38646	37838	36368	36599	35418	33632	31805	30984	30917	29345	29423	31940	32846	33499	33358	33129	32699	33776	34340	34357	35665	35571	36019	37756	37372
48	38983	39407	38550	37748	36281	36508	35332	33552	31730	30910	30845	29277	29355	31869	32777	33430	33291	33064	32636	33712	34276	34294	35603	35511	35959	37695
49	40584	38888	39312	38460	37662	36195	36424	35254	33478	31660	30844	30779	29215	29293	31804	32713	33368	33231	33005	32579	33654	34219	34240	35546	35457	35905
50	39732	40489	38803	39228	38381	37582	36122	36351	35186	33416	31602	30787	30723	29164	29241	31750	32661	33318	33183	32958	32534	33609	34175	34198	35502	35415
51	39875	39638	40398	38722	39147	38302	37508	36054	36284	35124	33359	31550	30735	30672	29118	29195	31701	32615	33273	33141	32918	32495	33569	34138	34162	35464
52	39351	39759	39530	40295	38628	39050	38211	37422	35975	36206	35052	33293	31488	30675	30614	29064	29143	31644	32560	33220	33090	32869	32447	33520	34090	34117
53	38243	39210	39627	39405	40173	38512	38936	38104	37320	35881	36114	34966	33212	31412	30602	30544	28999	29077	31574	32493	33153	33026	32808	32386	33458	34029
54	37187	38086	39063	39485	39269	40036	38388	38813	37988	37210	35777	36011	34872	33123	31331	30523	30466	28928	29006	31497	32419	33081	32955	32739	32318	33390
55	36592	37007	37916	38897	39323	39112	39880	38246	38671	37854	37082	35657	35893	34761	33020	31235	30431	30375	28844	28922	31407	32330	32993	32871	32656	32237
56	35552	36396	36827	37737	38721	39149	38946	39715	38094	38521	37712	36947	35530	35768	34643	32911	31132	30332	30278	28754	28832	31311	32235	32899	32779	32567
57	34895	35352	36208	36646	37558	38543	38975	38780	39550	37943	38371	37569	36812	35403	35642	34526	32803	31032	30234	30182	28666	28744	31217	32142	32806	32689
58	33754	34674	35149	36008	36450	37363	38351	38788	38599	39371	37778	38206	37414	36665	35264	35505	34396	32683	30921	30127	30077	28569	28646	31112	32039	32704
59	32194	33503	34440	34919	35781	36225	37140	38130	38571	38389	39164	37586	38015	37232	36489	35099	35343	34242	32540	30789	29999	29950	28450	28528	30986	31913
60	31896	31928	33250	34189	34674	35538	35987	36903	37894	38339	38165	38941	37377	37810	37036	36301	34922	35167	34077	32384	30645	29859	29812	28322	28400	30847
61	31236	31605	31665	32984	33924	34415	35281	35735	36652	37643	38094	37926	38702	37155	37589	36825	36099	34731	34977	33897	32216	30489	29708	29662	28184	28260
62	30105	30919	31313	31383	32698	33640	34136	35003	35462	36379	37369	37824	37665	38441	36911	37346	36593	35876	34521	34768	33698	32030	30316	29540	29496	28028
63	30290	29766	30602	31005	31084	32395	33339	33841	34708	35170	36088	37077	37536	37385	38162	36649	37085	36343	35635	34293	34542	33482	31829	30127	29358	29317
64	30600	29920	29435	30273	30683	30773	32079	33025	33530	34398	34864	35781	36769	37233	37091	37866	36373	36809	36078	35379	34051	34302	33254	31615	29927	29164
65	31190	30192	29558	29091	29929	30347	30446	31747	32693	33201	34070	34540	35455	36442	36910	36777	37552	36078	36514	35794	35106	33792	34045	33009	31386	29712
66	31986	30717	29773	29161	28713	29551	29975	30083	31379	32324	32835	33704	34176	35091	36075	36547	36423	37195	35742	36179	35471	34794	33496	33751	32726	31122
67	34396	31435	30234	29317	28728	28300	29139	29569	29685	30975	31917	32432	33298	33775	34686	35667	36142	36026	36797	35366	35804	35110	34443	33163	33419	32408
68	26017	33733	30883	29718	28832	28267	27857	28696	29130	29256	30537	31478	31993	32853	33333	34240	35217	35694	35588	36356	34950	35387	34707	34052	32790	33050
69	24005	25456	33073	30299	29171	28317	27776	27384	28222	28661	28796	30066	31000	31512	32368	32850	33753	34725	35204	35106	35870	34491	34929	34263	33622	32381
70	24560	23431	24902	32376	29679	28590	27768	27251	26881	27715	28159	28302	29558	30481	30995	31846	32330	33228	34194	34674	34585	35345	33995	34433	33781	33155
71	22961	23912	22865	24317	31638	29022	27973	27185	26694	26344	27174	27622	27771	29012	29928	30443	31290	31775	32666	33625	34106	34026	34781	33460	33898	33262
72	20722	22287	23270	22266	23698	30857	28325	27319	26565	26100	25771	26596	27047	27204	28432	29340	29855	30696	31183	32067	33017	33498	33427	34177	32886	33324
73	18871	20053	21629	22602	21642	23051	30040	27596	26632	25911	25473	25166	25985	26438	26603	27816	28716	29231	30065	30551	31428	32369	32849	32788	33531	32272
74	19059	18214	19413	20958	21918	21003	22387	29199	26844	25921	25236	24824	24539	25351	25806	25978	27175	28065	28578	29406	29891	30759	31689	32169	32118	32854
